#Date      Gazole  SP95  SP98   GPLc   Gazole SP95   SP98   GPLc
04/01/2008 0.5964 0.5432 0.5688 0.5649 1.2226 1.3701 1.4007 0.7472
11/01/2008 0.5899 0.5432 0.5702 0.5658 1.2148 1.37 1.4023 0.7483
18/01/2008 0.5669 0.5168 0.547 0.5673 1.1873 1.3384 1.3746 0.7501
25/01/2008 0.5519 0.5024 0.5337 0.5673 1.1693 1.3212 1.3587 0.7501
01/02/2008 0.5567 0.5067 0.538 0.5674 1.1751 1.3264 1.3638 0.7503
08/02/2008 0.5557 0.5 0.5302 0.5674 1.1764 1.3229 1.359 0.7503
15/02/2008 0.5862 0.5273 0.5573 0.5677 1.2129 1.3555 1.3915 0.7507
22/02/2008 0.6062 0.5473 0.5787 0.5673 1.2368 1.3795 1.4171 0.7501
29/02/2008 0.6088 0.5433 0.5734 0.5673 1.2399 1.3747 1.4107 0.7501
07/03/2008 0.6223 0.5374 0.5682 0.5673 1.256 1.3677 1.4045 0.7502
14/03/2008 0.6422 0.5385 0.5683 0.5672 1.2799 1.369 1.4045 0.75
21/03/2008 0.6364 0.5274 0.5572 0.5678 1.2729 1.3556 1.3913 0.7507
28/03/2008 0.6245 0.5357 0.5639 0.5667 1.2587 1.3656 1.3993 0.7494
04/04/2008 0.6235 0.5402 0.5697 0.5672 1.2575 1.371 1.4063 0.75
11/04/2008 0.6483 0.5481 0.5805 0.5666 1.2871 1.3804 1.4192 0.7493
18/04/2008 0.6611 0.5502 0.5829 0.581 1.3025 1.3829 1.422 0.7665
25/04/2008 0.6726 0.5659 0.5974 0.5676 1.3162 1.4017 1.4394 0.7505
02/05/2008 0.6878 0.5712 0.6038 0.5828 1.3344 1.4081 1.4471 0.7687
09/05/2008 0.6992 0.5774 0.6103 0.5826 1.348 1.4155 1.4548 0.7684
16/05/2008 0.7514 0.6024 0.6343 0.5833 1.4105 1.4454 1.4835 0.7693
23/05/2008 0.7744 0.6196 0.6512 0.5833 1.438 1.4659 1.5037 0.7693
30/05/2008 0.7879 0.6276 0.6586 0.584 1.4541 1.4755 1.5126 0.7701
06/06/2008 0.7597 0.6241 0.6541 0.584 1.4204 1.4713 1.5072 0.7702
13/06/2008 0.7866 0.6427 0.6725 0.5858 1.4525 1.4935 1.5292 0.7722
20/06/2008 0.7804 0.6457 0.6754 0.5913 1.4451 1.4971 1.5326 0.7788
27/06/2008 0.77 0.6405 0.6702 0.5898 1.4327 1.4909 1.5265 0.7771
04/07/2008 0.7733 0.6399 0.6693 0.6014 1.4366 1.4902 1.5254 0.7909
11/07/2008 0.7761 0.6365 0.6675 0.6007 1.44 1.4862 1.5233 0.79
18/07/2008 0.7744 0.6299 0.6606 0.601 1.4379 1.4783 1.5149 0.7905
25/07/2008 0.7431 0.6002 0.6337 0.6093 1.4005 1.4427 1.4827 0.8003
01/08/2008 0.7197 0.5807 0.6143 0.5944 1.3726 1.4194 1.4596 0.7826
08/08/2008 0.6912 0.5798 0.614 0.5944 1.3384 1.4183 1.4592 0.7825
15/08/2008 0.6774 0.5785 0.6135 0.5947 1.322 1.4168 1.4586 0.7829
22/08/2008 0.6799 0.582 0.6153 0.5948 1.3249 1.421 1.4607 0.783
29/08/2008 0.6892 0.5949 0.6271 0.5949 1.3361 1.4364 1.4749 0.7831
05/09/2008 0.6795 0.5858 0.6197 0.5948 1.3245 1.4255 1.4661 0.783
12/09/2008 0.6647 0.5868 0.6191 0.5947 1.3068 1.4267 1.4653 0.7829
19/09/2008 0.6439 0.5572 0.5942 0.5946 1.2818 1.3913 1.4356 0.7828
26/09/2008 0.6566 0.5545 0.5917 0.5949 1.2971 1.3881 1.4325 0.7831
03/10/2008 0.6552 0.5495 0.5862 0.5948 1.2954 1.3821 1.426 0.7831
10/10/2008 0.6169 0.5163 0.5491 0.5948 1.2496 1.3424 1.3816 0.7831
17/10/2008 0.5648 0.4615 0.4999 0.5873 1.1872 1.2769 1.3227 0.7741
24/10/2008 0.5462 0.4328 0.4717 0.5706 1.165 1.2425 1.2891 0.7541
31/10/2008 0.5347 0.4228 0.459 0.5728 1.1513 1.2305 1.2738 0.7567
07/11/2008 0.5337 0.3989 0.4352 0.5733 1.1501 1.2019 1.2454 0.7573
14/11/2008 0.5172 0.3761 0.4115 0.5695 1.1304 1.1748 1.217 0.7527
21/11/2008 0.4884 0.3486 0.3866 0.5701 1.0959 1.1418 1.1873 0.7535
28/11/2008 0.4616 0.3306 0.3671 0.5568 1.0639 1.1203 1.164 0.7376
05/12/2008 0.4363 0.3222 0.359 0.5536 1.0335 1.1103 1.1543 0.7337
12/12/2008 0.4055 0.2998 0.3361 0.5454 0.9968 1.0835 1.1269 0.724
19/12/2008 0.3982 0.2956 0.3313 0.5418 0.988 1.0784 1.1211 0.7196
26/12/2008 0.3755 0.2745 0.3128 0.5317 0.9609 1.0532 1.099 0.7075
02/01/2009 0.3631 0.2663 0.3025 0.5272 0.946 1.0434 1.0867 0.7021
09/01/2009 0.4096 0.3172 0.3477 0.5251 1.0017 1.1043 1.1407 0.6996
16/01/2009 0.4046 0.3226 0.3524 0.5244 0.9956 1.1108 1.1464 0.6989
23/01/2009 0.398 0.3297 0.3594 0.5221 0.9877 1.1192 1.1547 0.696
30/01/2009 0.3953 0.3358 0.3634 0.5206 0.9846 1.1265 1.1596 0.6943
06/02/2009 0.3935 0.3448 0.3728 0.5194 0.9824 1.1374 1.1709 0.6928
13/02/2009 0.3895 0.3513 0.3797 0.5196 0.9776 1.1452 1.1792 0.6931
20/02/2009 0.3671 0.3457 0.3727 0.5197 0.9508 1.1385 1.1708 0.6932
27/02/2009 0.3585 0.3357 0.3656 0.5188 0.9405 1.1265 1.1623 0.6921
06/03/2009 0.3592 0.3452 0.3747 0.5182 0.9414 1.1379 1.1732 0.6915
13/03/2009 0.3521 0.3385 0.370273789 0.510151691 0.9329 1.1298 1.16786265 0.681781823
20/03/2009 0.3558 0.3411 0.3708 0.51 0.9372 1.133 1.1684 0.6816
27/03/2009 0.3837 0.3646 0.392 0.5057 0.9706 1.1611 1.1939 0.6765
03/04/2009 0.382 0.3636 0.39 0.504 0.9686 1.1599 1.1914 0.6744
10/04/2009 0.3811 0.3648 0.393 0.4943 0.9675 1.1613 1.195 0.6629
17/04/2009 0.3865 0.3758 0.3992 0.4905 0.9741 1.1744 1.2025 0.6582
24/04/2009 0.3834 0.3783 0.4034 0.4867 0.9704 1.1774 1.2075 0.6537
01/05/2009 0.3729 0.3708 0.3956 0.4906 0.9578 1.1685 1.1982 0.6583
08/05/2009 0.3792 0.3881 0.4109 0.4906 0.9653 1.1892 1.2164 0.6584
15/05/2009 0.3906 0.4042 0.4283 0.4899 0.9789 1.2084 1.2372 0.6576
22/05/2009 0.3865 0.4244 0.4503 0.4862 0.974 1.2326 1.2636 0.6532
29/05/2009 0.3869 0.4266 0.452 0.4864 0.9745 1.2353 1.2655 0.6534
05/06/2009 0.4118 0.4415 0.4678 0.4864 1.0043 1.2531 1.2845 0.6533
12/06/2009 0.4298 0.4579 0.4843 0.4873 1.0258 1.2726 1.3042 0.6545
19/06/2009 0.4399 0.4734 0.5011 0.4864 1.0379 1.2912 1.3243 0.6533
26/06/2009 0.4317 0.4512 0.4801 0.4958 1.028 1.2647 1.2992 0.6647
03/07/2009 0.4256 0.4402 0.4691 0.4949 1.0208 1.2515 1.286 0.6636
10/07/2009 0.4041 0.419 0.4463 0.495 0.9951 1.2261 1.2588 0.6636
17/07/2009 0.3957 0.4157 0.4407 0.4936 0.985 1.2222 1.2521 0.662
24/07/2009 0.4108 0.423 0.4511 0.4942 1.0031 1.2309 1.2645 0.6627
31/07/2009 0.4162 0.4297 0.4575 0.4945 1.0096 1.2389 1.2722 0.6631
07/08/2009 0.4391 0.4619 0.4876 0.5046 1.037 1.2774 1.3082 0.6751
14/08/2009 0.4471 0.4622 0.4919 0.5047 1.0464 1.2778 1.3134 0.6752
21/08/2009 0.4434 0.4582 0.4864 0.5047 1.042 1.273 1.3068 0.6752
28/08/2009 0.4405 0.4512 0.4811 0.5054 1.0386 1.2646 1.3004 0.676
04/09/2009 0.4329 0.4431 0.4737 0.506 1.0295 1.255 1.2916 0.6768
11/09/2009 0.4207 0.4317 0.4626 0.5038 1.0149 1.2414 1.2783 0.6742
18/09/2009 0.4151 0.4217 0.4536 0.5038 1.0082 1.2294 1.2676 0.6742
25/09/2009 0.4151 0.4214 0.4489 0.5076 1.0082 1.229 1.262 0.6787
02/10/2009 0.4099 0.4055 0.4365 0.5085 1.002 1.21 1.2471 0.6798
09/10/2009 0.4176 0.4124 0.442 0.5071 1.0112 1.2182 1.2536 0.6781
16/10/2009 0.4307 0.4216 0.4514 0.507 1.0269 1.2292 1.2649 0.678
23/10/2009 0.452 0.4448 0.4738 0.5037 1.0524 1.257 1.2917 0.6741
30/10/2009 0.4543 0.4512 0.4781 0.5038 1.0551 1.2647 1.2968 0.6741
06/11/2009 0.4547 0.4574 0.4849 0.5027 1.0555 1.2721 1.3049 0.6728
13/11/2009 0.4504 0.4513 0.4811 0.5055 1.0505 1.2648 1.3004 0.6763
20/11/2009 0.4488 0.4527 0.4793 0.5047 1.0485 1.2664 1.2982 0.6753
27/11/2009 0.4423 0.445 0.4775 0.5046 1.0407 1.2572 1.2961 0.6751
04/12/2009 0.4436 0.4487 0.4772 0.5083 1.0423 1.2616 1.2957 0.6795
11/12/2009 0.4428 0.4449 0.4735 0.5143 1.0413 1.2572 1.2913 0.6868
18/12/2009 0.4396 0.4374 0.4673 0.515 1.0376 1.2481 1.2839 0.6876
25/12/2009 0.4448 0.4413 0.472 0.5157 1.0437 1.2528 1.2896 0.6884
01/01/2010 0.4582 0.4477 0.4865 0.5177 1.0598 1.2604 1.3069 0.6908
